,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
7884,Mungerilal B Tech,,Action  Comedy  Drama,,tt5137020,,(2018),"September 2, 2018"
7885,Doggo and the Shotguns Choir,7.7,Drama  Western,66,tt9279678,8,(2018),"September 2, 2018"
7886,The King of Football,,,,tt10453420,,(2018),"August 31, 2018"
7887,Stålkrigarinnor,5.8,Drama  History,80,tt6051292,12,(2018),"February 18, 2018"
7888,Free Weekend,,Comedy  Family,81,tt12273294,,(2018),"August 18, 2018"
7889,Kathiruppor Pattiyal,5.4,Romance,,tt8176308,27,(2018),"March 2, 2018"
7890,What Becomes of Us,,Drama  Fantasy  Horror,88,tt9038966,,(2018),"May 25, 2018"
7891,Chandragiri,4.8,Drama,142,tt8387376,17,(2018),"August 3, 2018"
7892,The Wrong Crowd,,Crime  Drama  Thriller,77,tt9304196,,(2018),"November 25, 2018"
7893,Aks,,Horror  Thriller,,tt7394202,,(2018),"February 16, 2018"
7894,O Bem-aventurado,8.0,Animation  Drama  Horror,102,tt8800108,65,(2018),"February 16, 2018"
7895,Todos Juntos,8.3,Music  Romance,,tt7757746,7,(2018),"September 14, 2018"
7896,Meri Shaan Hai Vardi,,Drama,120,tt8484632,,(2018),"August 8, 2018"
7897,The Firefly and the Bride,,Comedy,79,tt8383036,,(2018),"January 25, 2018"
7898,The Unbreakable,,Animation,52,tt10183608,,(2018),"August 21, 2018"
7899,Hui Cai Hong,8.0,Drama,101,tt7838278,27,(2018),"January 30, 2018"
7900,Return of Special Soldiers II Black Poppy,,Action,,tt16155018,,(2018),"December 11, 2018"
7901,Luna,,Romance  Sci-Fi  Thriller,84,tt7245448,,(III) (2018),"March 30, 2018"
7902,Zhong guo he huo ren 2,4.3,Drama,123,tt9844650,20,(2018),"December 18, 2018"
7903,Broken Badges,,Action,90,tt7091130,,(2018),"September 21, 2018"
7904,Remember Redfield,5.0,Horror,,tt7687250,8,(2018),"September 16, 2018"
7905,Scrapped,,Horror,,tt8462028,,(2018),"September 7, 2018"
7906,ultravoKal,6.4,Drama  Western,94,tt8590114,9,(2018),"May 8, 2019"
7907,That Night,3.1,Drama  Thriller,56,tt7632348,10,(II) (2018),"May 11, 2018"
